model,accuracy,precision,recall,f1,roc_auc,pr_auc
Logistic Regression,0.8181655998449751,0.0067623400057336,0.6478190630048465,0.0133849594445742,0.8026014004528842,0.0098068525884718
Random Forest,0.9977115367461374,0.0155038759689922,0.0032310177705977,0.0053475935828877,0.7575607847104523,0.010739165952731
XGBoost Financial,0.8445875075743827,0.008547513540128,0.7011308562197092,0.0168891310269681,0.8583610065174474,0.0201165831910797
XGBoost Financial + Behavioral,0.8476172606725745,0.008795533957187,0.7075928917609047,0.0173750917349306,0.8585778498392731,0.0232563405630239
Logistic Regression (train=2017-2018),0.810768080859035,0.0065467509317776,0.6526655896607432,0.0129634680485809,0.8024195318603854,0.00972261393739
Random Forest (train=2017-2018),0.9975362109323336,0.0159574468085106,0.0048465266558966,0.0074349442379182,0.7593618886772039,0.0109360314764202
XGBoost Financial (train=2017-2018),0.8210723172843569,0.0078165087401224,0.7382875605815832,0.0154692392316154,0.8631183115186447,0.0233189708428543
XGBoost Financial + Behavioral (train=2017-2018),0.8276454973562712,0.008130514281656637,0.7399030694668821,0.016084284460052677,0.863747149684025,0.024897719274791993
